T25,Land,,,,,
11,Western Africa,2019,Land area (thousand hectares),"606,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Arable land (thousand hectares),"85,955",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Permanent crops (thousand hectares),"15,456",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Forest cover (thousand hectares),"84,912",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Arable land (% of total land area),14.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Permanent crops (% of total land area),2.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
11,Western Africa,2019,Forest cover (% of total land area),14.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Land area (thousand hectares),"3,867,815",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Arable land (thousand hectares),"343,519",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Permanent crops (thousand hectares),"26,731",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Forest cover (thousand hectares),"1,649,669",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Arable land (% of total land area),8.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2005,Forest cover (% of total land area),42.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Land area (thousand hectares),"3,866,368",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Arable land (thousand hectares),"340,284",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Permanent crops (thousand hectares),"26,400",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Forest cover (thousand hectares),"1,624,344",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Arable land (% of total land area),8.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2010,Forest cover (% of total land area),42.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Land area (thousand hectares),"3,866,092",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Arable land (thousand hectares),"341,233",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Permanent crops (thousand hectares),"26,965",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Forest cover (thousand hectares),"1,599,319",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Arable land (% of total land area),8.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Permanent crops (% of total land area),0.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
19,Americas,2019,Forest cover (% of total land area),41.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Land area (thousand hectares),"1,853,824",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Arable land (thousand hectares),"205,890",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Permanent crops (thousand hectares),"2,865",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Forest cover (thousand hectares),"653,693",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Arable land (% of total land area),11.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Forest cover (% of total land area),35.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.47,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
21,Northern America,2010,Land area (thousand hectares),"1,852,374",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Arable land (thousand hectares),"195,407",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Permanent crops (thousand hectares),"2,877",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Forest cover (thousand hectares),"656,045",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Arable land (% of total land area),10.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Forest cover (% of total land area),35.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),32.80,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
21,Northern America,2019,Land area (thousand hectares),"1,852,374",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Arable land (thousand hectares),"196,387",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Permanent crops (thousand hectares),"2,867",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Forest cover (thousand hectares),"656,763",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Arable land (% of total land area),10.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Forest cover (% of total land area),35.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
21,Northern America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.91,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
21,Northern America,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),34.93,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
419,Latin America & the Caribbean,2005,Land area (thousand hectares),"2,013,990",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
419,Latin America & the Caribbean,2005,Arable land (thousand hectares),"137,629",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
419,Latin America & the Caribbean,2005,Permanent crops (thousand hectares),"23,866",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
419,Latin America & the Caribbean,2005,Forest cover (thousand hectares),"995,976",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
419,Latin America & the Caribbean,2005,Arable land (% of total land area),6.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
419,Latin America & the Caribbean,2005,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
